source_page,link_href,final_url,status,notes,category
"known_routes","http://localhost:3008/about-us","http://localhost:3008/about-us","200","","working"
"known_routes","http://localhost:3008/contact","http://localhost:3008/contact","200","","working"
"known_routes","http://localhost:3008/","http://localhost:3008/","200","","working"
"known_routes","http://localhost:3008/business-services","http://localhost:3008/business-services","200","","working"
"known_routes","http://localhost:3008/emergency-tax-attorney-nyc","http://localhost:3008/emergency-tax-attorney-nyc","200","","working"
"known_routes","http://localhost:3008/emergency-tax-attorney","http://localhost:3008/emergency-tax-attorney","200","","working"
"known_routes","http://localhost:3008/irs-audit-defense","http://localhost:3008/irs-audit-defense","200","","working"
"known_routes","http://localhost:3008/innocent-spouse-relief","http://localhost:3008/innocent-spouse-relief","200","","working"
"known_routes","http://localhost:3008/cp504-notice-response","http://localhost:3008/cp504-notice-response","200","","working"
"known_routes","http://localhost:3008/irs-taking-my-house-nyc","http://localhost:3008/irs-taking-my-house-nyc","200","","working"
"known_routes","http://localhost:3008/letter-1058-help-nyc","http://localhost:3008/letter-1058-help-nyc","200","","working"
"known_routes","http://localhost:3008/irs-wage-garnishment-stop","http://localhost:3008/irs-wage-garnishment-stop","200","","working"
"known_routes","http://localhost:3008/irs-seized-my-bank-account","http://localhost:3008/irs-seized-my-bank-account","200","","working"
"known_routes","http://localhost:3008/irs-audit-help","http://localhost:3008/irs-audit-help","200","","working"
"known_routes","http://localhost:3008/tax-debt-relief-help","http://localhost:3008/tax-debt-relief-help","200","","working"
"known_routes","http://localhost:3008/tax-debt-relief","http://localhost:3008/tax-debt-relief","200","","working"
"known_routes","http://localhost:3008/same-day-tax-attorney","http://localhost:3008/same-day-tax-attorney","200","","working"
"known_routes","http://localhost:3008/offer-in-compromise-help","http://localhost:3008/offer-in-compromise-help","200","","working"
"known_routes","http://localhost:3008/stop-wage-garnishment-today","http://localhost:3008/stop-wage-garnishment-today","200","","working"
"known_routes","http://localhost:3008/tax-liens-levies","http://localhost:3008/tax-liens-levies","200","","working"
"known_routes","http://localhost:3008/tax-lien-help","http://localhost:3008/tax-lien-help","200","","working"
"known_routes","http://localhost:3008/tax-planning","http://localhost:3008/tax-planning","200","","working"
"known_routes","http://localhost:3008/tax-levy-paycheck-nj","http://localhost:3008/tax-levy-paycheck-nj","200","","working"
"known_routes","http://localhost:3008/unfiled-tax-returns","http://localhost:3008/unfiled-tax-returns","200","","working"
"known_routes","http://localhost:3008/wage-garnishment","http://localhost:3008/wage-garnishment","200","","working"
"http://localhost:3008/about-us","http://localhost:3008/%22/%22","http://localhost:3008/%22/%22","404","","malformed"
"http://localhost:3008/about-us","http://localhost:3008/%22/emergency-tax-attorney%22","http://localhost:3008/%22/emergency-tax-attorney%22","404","","malformed"
"http://localhost:3008/about-us","http://localhost:3008/%22/irs-audit-help%22","http://localhost:3008/%22/irs-audit-help%22","404","","malformed"